年月日,乗車駅,降車駅,総計,定期以外計,普通券計,普通券大人,普通券小人,乗継計,乗継大人,乗継小人,地下売,バス売,一日券,プリペイド,ICSF,定期以外その他,定期計,通勤,通学,学都,公用,敬老,ふれあい,定期その他
2018-04-01,泉中央,八乙女,20836,9902,2114,1874,240,0,0,0,0,0,278,0,7510,0,10934,5770,234,1439,5,2433,1053,0
2018-04-01,泉中央,黒松,13794,7062,1332,1142,190,0,0,0,0,0,150,0,5580,0,6732,2758,242,912,0,2182,638,0
2018-04-01,泉中央,旭ヶ丘,19562,8887,1626,1364,262,0,0,0,0,0,148,0,7113,0,10675,4092,222,1856,2,3238,1265,0
2018-04-01,泉中央,台原,17599,8033,1519,1306,213,0,0,0,0,0,104,0,6410,0,9566,3503,284,3838,2,1291,648,0
2018-04-01,泉中央,北仙台,39399,17853,3136,2931,205,0,0,0,0,0,173,0,14544,0,21546,8517,2577,7472,6,1864,1110,0
2018-04-01,泉中央,北四番丁,39695,15741,2123,1930,193,0,0,0,0,0,173,0,13444,1,23954,16498,374,4363,16,1583,1120,0
2018-04-01,泉中央,勾当台公園,87494,42518,7511,6911,600,0,0,0,0,0,785,0,34219,3,44976,35258,255,2467,10,5651,1335,0
2018-04-01,泉中央,広瀬通,82154,40700,7426,6950,476,0,0,0,0,0,615,0,32655,4,41454,31233,445,5224,0,3532,1020,0
2018-04-01,泉中央,仙台,249850,137974,31893,29621,2272,0,0,0,0,0,2133,0,103941,7,111876,64894,6959,28200,17,8312,3494,0
2018-04-01,泉中央,五橋,21640,7914,1336,1236,100,0,0,0,0,0,196,0,6381,1,13726,6052,291,6698,0,466,219,0
2018-04-01,泉中央,愛宕橋,4117,1621,354,329,25,0,0,0,0,0,57,0,1210,0,2496,1027,16,1196,2,188,67,0
2018-04-01,泉中央,河原町,6359,2630,561,519,42,0,0,0,0,0,145,0,1924,0,3729,1987,27,1203,0,324,188,0
2018-04-01,泉中央,長町一丁目,5786,2681,419,370,49,0,0,0,0,0,178,0,2084,0,3105,1621,63,904,0,354,163,0
2018-04-01,泉中央,長町,19256,7894,1485,1312,173,0,0,0,0,0,556,0,5853,0,11362,4752,312,4835,4,851,608,0
2018-04-01,泉中央,長町南,16317,6318,1157,992,165,0,0,0,0,0,612,0,4549,0,9999,4465,201,3873,3,806,651,0
2018-04-01,泉中央,富沢,11801,5999,1549,1400,149,0,0,0,0,0,842,0,3608,0,5802,3012,24,2313,6,225,222,0
2018-04-01,泉中央,八木山動物公園,5344,2210,480,350,130,0,0,0,0,0,272,0,1458,0,3134,653,70,2184,1,147,79,0
2018-04-01,泉中央,青葉山,3617,776,89,87,2,0,0,0,0,0,11,0,676,0,2841,625,80,2063,0,35,38,0
2018-04-01,泉中央,川内,2740,786,81,80,1,0,0,0,0,0,42,0,663,0,1954,244,65,1593,0,43,9,0
2018-04-01,泉中央,国際センター,4590,1774,226,213,13,0,0,0,0,0,475,0,1073,0,2816,151,333,2191,0,127,14,0
