年,月,乗車駅,降車駅,合計,定期券外,普通券計,普通券大,乗継計,乗継大,乗継小,地下売,バス売,一日券,プリペ,ICSF,その他,定期計,通勤,通学,学都,公用,敬老,ふれあい,その他.1
2020,4,泉中央,八乙女,12211,5269,749,689,,,,,,40,,4480,,6942,4394,4,326,1,1166,1051,
2020,4,泉中央,黒松,8204,3921,492,451,,,,,,31,,3398,,4283,2551,6,165,,1143,418,
2020,4,泉中央,旭ヶ丘,9813,4021,551,478,,,,,,29,,3441,,5792,3602,8,158,3,1053,968,
2020,4,泉中央,台原,8885,3763,310,273,,,,,,14,,3439,,5122,3659,14,305,,636,508,
2020,4,泉中央,北仙台,18605,8162,893,851,,,,,,33,,7236,,10443,8440,36,510,,733,724,
2020,4,泉中央,北四番丁,25693,8405,719,683,,,,,,16,,7670,,17288,15347,15,299,1,716,910,
2020,4,泉中央,勾当台公園,47837,16670,1298,1185,,,,,,87,,15284,1,31167,28414,3,335,1,1370,1044,
2020,4,泉中央,広瀬通,39787,15611,1379,1274,,,,,,60,,14171,1,24176,21782,7,612,1,981,793,
2020,4,泉中央,仙台,84600,32962,4626,4355,,,,,,173,,28162,1,51638,45539,154,1962,2,1664,2317,
2020,4,泉中央,五橋,9514,3378,462,450,,,,,,32,,2884,,6136,5073,6,730,,207,120,
2020,4,泉中央,愛宕橋,2254,992,359,355,,,,,,9,,624,,1262,917,2,217,,42,84,
2020,4,泉中央,河原町,3613,1233,170,166,,,,,,12,,1051,,2380,2098,,95,,95,92,
2020,4,泉中央,長町一丁目,3117,1349,124,122,,,,,,23,,1202,,1768,1572,,40,,94,62,
2020,4,泉中央,長町,7317,2276,320,309,,,,,,56,,1900,,5041,4128,2,185,,259,467,
2020,4,泉中央,長町南,6194,1800,252,208,,,,,,50,,1498,,4394,3684,,133,,215,362,
2020,4,泉中央,富沢,4391,1162,151,135,,,,,,32,,979,,3229,2913,10,132,,50,124,
2020,4,泉中央,八木山動物公園,1169,579,65,64,,,,,,14,,500,,590,450,1,52,,44,43,
2020,4,泉中央,青葉山,822,212,12,12,,,,,,3,,197,,610,407,3,169,,12,19,
2020,4,泉中央,川内,362,166,9,9,,,,,,4,,153,,196,153,3,36,,1,3,
2020,4,泉中央,国際センター,892,592,62,62,,,,,,8,,522,,300,121,14,163,,1,1,
2020,4,泉中央,大町西公園,837,354,38,23,,,,,,3,,313,,483,447,,8,,25,3,
2020,4,泉中央,青葉通一番町,1287,478,34,30,,,,,,13,,431,,809,658,2,15,,65,69,
2020,4,泉中央,宮城野通,1485,481,31,31,,,,,,5,,445,,1004,849,,25,,35,95,
2020,4,泉中央,連坊,1544,586,46,46,,,,,,8,,532,,958,687,11,193,,22,45,
2020,4,泉中央,薬師堂,1995,684,59,54,,,,,,4,,621,,1311,1098,,100,,38,75,
2020,4,泉中央,卸町,1716,522,67,67,,,,,,13,,442,,1194,1047,,52,,30,65,
2020,4,泉中央,六丁の目,1557,429,45,41,,,,,,6,,378,,1128,947,,118,,18,45,
2020,4,泉中央,荒井,945,280,31,27,,,,,,30,,219,,665,561,,10,,54,40,
2020,4,八乙女,泉中央,12051,5586,797,719,,,,,,32,,4757,,6465,3894,4,286,3,1173,1105,
2020,4,八乙女,黒松,1591,656,137,111,,,,,,13,,506,,935,463,2,50,,249,171,
2020,4,八乙女,旭ヶ丘,2251,1011,135,121,,,,,,3,,873,,1240,585,,59,,288,308,
2020,4,八乙女,台原,2213,1045,141,127,,,,,,3,,901,,1168,752,,55,,170,191,
2020,4,八乙女,北仙台,4828,2093,341,315,,,,,,9,,1743,,2735,2247,15,147,,144,182,
2020,4,八乙女,北四番丁,10563,4699,319,307,,,,,,8,,4372,,5864,5175,,141,50,251,247,
2020,4,八乙女,勾当台公園,17148,5381,510,497,,,,,,28,,4843,,11767,11036,,113,,368,250,
2020,4,八乙女,広瀬通,14579,5494,426,398,,,,,,17,,5051,,9085,8442,1,207,1,238,196,
2020,4,八乙女,仙台,29372,10335,1460,1401,,,,,,51,,8824,,19037,17007,81,815,,561,573,
2020,4,八乙女,五橋,3802,1317,102,99,,,,,,14,,1201,,2485,2265,1,80,,85,54,
2020,4,八乙女,愛宕橋,521,128,11,11,,,,,,2,,115,,393,342,,14,,23,14,
2020,4,八乙女,河原町,963,322,43,39,,,,,,2,,277,,641,545,,32,,50,14,
2020,4,八乙女,長町一丁目,886,342,46,21,,,,,,13,,283,,544,457,,9,,25,53,
2020,4,八乙女,長町,2708,691,166,161,,,,,,6,,519,,2017,1756,6,89,,56,110,
2020,4,八乙女,長町南,2098,626,40,36,,,,,,26,,560,,1472,1198,9,99,,45,121,
2020,4,八乙女,富沢,1480,411,35,35,,,,,,10,,366,,1069,993,,64,1,7,4,
2020,4,八乙女,八木山動物公園,372,151,17,17,,,,,,5,,129,,221,162,,30,,27,2,
2020,4,八乙女,青葉山,339,83,2,2,,,,,,1,,80,,256,236,,18,,2,,
2020,4,八乙女,川内,164,43,1,1,,,,,,,,42,,121,89,,19,,5,8,
2020,4,八乙女,国際センター,126,46,2,2,,,,,,3,,41,,80,35,,19,,5,21,
2020,4,八乙女,大町西公園,281,99,4,4,,,,,,1,,94,,182,166,,9,,5,2,
2020,4,八乙女,青葉通一番町,613,247,34,22,,,,,,3,,210,,366,319,2,2,1,27,15,
2020,4,八乙女,宮城野通,627,218,11,9,,,,,,1,,206,,409,394,,1,,5,9,
2020,4,八乙女,連坊,380,136,6,6,,,,,,3,,127,,244,177,,44,,3,20,
2020,4,八乙女,薬師堂,674,268,31,25,,,,,,1,,236,,406,351,,25,,11,19,
2020,4,八乙女,卸町,901,302,35,35,,,,,,7,,260,,599,552,,7,,3,37,
2020,4,八乙女,六丁の目,559,164,19,19,,,,,,11,,134,,395,327,,55,,9,4,
2020,4,八乙女,荒井,458,165,26,26,,,,,,,,139,,293,257,,26,,5,5,
2020,4,黒松,泉中央,7870,3861,478,443,,,,,,26,,3357,,4009,2468,6,143,,972,420,
2020,4,黒松,八乙女,2033,583,131,120,,,,,,23,,429,,1450,919,,66,1,283,181,
2020,4,黒松,旭ヶ丘,1649,296,45,39,,,,,,4,,247,,1353,693,,12,,418,230,
